CAP (MW),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Luxembourg,187,211,225,239,301,318,324,386,430,456
Malta,19,32,58,78,98,116,137,160,193,201
Moldova Rep,64,67,69,69,71,82,106,110,112,130
CAP (MW),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Montenegro,630,631,655,665,671,750,752,800,821,821
Netherlands,3 473,4 169,4 661,5 738,7 200,7 924,9 867,12 580,18 477,22 954
North Macedonia,599,624,682,716,720,731,740,751,825,963
Norway,31 365,32 002,32 252,32 394,32 814,33 251,34 396,35 912,38 003,39 769
Poland,4 094,5 116,5 638,6 919,7 881,7 982,8 301,9 360,12 275,15 424
Portugal,10 955,11 143,11 573,12 153,13 208,13 541,13 753,14 118,14 208,15 061
Romania,8 354,10 098,11 152,11 212,11 162,11 145,11 169,11 169,11 121,11 138
Serbia,2 363,2 331,2 422,2 439,2 460,2 480,2 694,2 910,2 928,2 964
Slovakia,2 335,2 359,2 380,2 384,2 397,2 385,2 330,2 431,2 376,2 376
Slovenia,1 277,1 367,1 404,1 419,1 409,1 479,1 474,1 512,1 612,1 606
Spain,46 436,46 819,46 850,47 708,47 798,47 948,48 283,54 633,57 463,61 517
Sweden,24 293,24 645,25 528,26 869,27 805,28 179,29 180,31 156,31 951,34 525
Switzerland,14 065,14 409,14 638,15 040,16 259,17 049,17 470,17 826,18 337,18 813
UK,15 902,20 027,24 895,30 800,35 433,40 043,44 028,46 800,47 387,50 293
Ukraine,5 241,5 769,6 048,6 105,6 199,6 530,7 455,12 189,13 764,14 921
European Union (27),319 453,337 355,352 546,371 007,387 887,405 554,423 137,450 726,479 193,511 578
Middle East,13 661,14 452,15 916,15 851,16 723,17 093,18 537,21 557,23 005,24 049
Bahrain,1,1,6,6,7,7,7,10,10,12
Iran IR,9 858,10 380,10 954,10 411,10 783,11 367,11 638,11 803,11 901,11 929
Iraq,2 274,2 304,2 311,2 311,2 311,1 594,1 594,1 594,1 594,1 594
Israel,301,410,623,813,942,1 051,1 353,2 118,2 531,2 614
Jordan,17,17,17,153,514,624,1 009,1 588,1 996,2 171
Kuwait,0,3,4,6,33,44,55,106,106,106
Lebanon,285,286,289,296,316,329,352,373,373,373
Oman,,1,1,2,2,8,8,59,162,188
Palestine,1,1,3,12,25,35,40,82,117,117
Qatar,39,40,42,42,43,43,43,43,43,43
Saudi Arabia,14,22,24,24,24,37,87,113,113,443
Syrian AR,857,857,1 501,1 579,1 501,1 497,1 499,1 500,1 500,1 500
United Arab Em,13,128,136,136,142,356,599,1 919,2 307,2 706
Yemen,1,2,5,60,80,100,250,250,253,253
N America,263 279,272 622,286 380,308 002,331 723,348 336,367 056,388 933,419 978,457 857
Canada,84 363,86 409,89 354,95 457,97 328,98 501,99 807,100 392,100 632,102 932
Greenland,91,91,91,91,91,91,91,91,91,91
Mexico,14 781,15 202,16 626,17 409,19 072,19 920,22 132,25 126,26 306,29 443
St Pierre Mq,1,1,,,,,,,,
USA,164 043,170 920,180 309,195 046,215 233,229 824,245 026,263 324,292 949,325 391
Oceania,22 199,23 715,25 236,26 386,27 344,28 568,30 778,36 037,42 910,45 136
Amer Samoa,2,2,2,2,4,4,5,5,5,5
Australia,14 649,16 068,17 370,18 415,19 339,20 492,22 645,27 826,34 536,36 617
Cook Is,0,1,2,3,3,3,5,5,5,5
Fiji,191,191,191,193,195,209,212,212,212,220
Fr Polynesia,61,65,72,76,79,83,85,89,89,89
Guam,0,1,1,32,35,35,35,35,35,35
Kiribati,0,1,1,2,3,3,3,3,3,3
Marshall Is,0,1,1,1,2,2,2,2,2,2
Micronesia,1,1,1,1,2,2,3,3,3,3
Nauru,0,0,0,0,1,1,1,2,2,2
New Caledon,119,119,120,123,125,142,145,178,199,199
New Zealand,6 841,6 930,7 133,7 173,7 186,7 207,7 251,7 285,7 425,7 562
Niue,0,0,0,0,0,0,0,1,1,1
Palau,1,1,1,1,1,1,2,2,2,2
Papua N Guin,313,314,314,333,333,333,333,335,335,335
Samoa,9,9,13,14,17,27,27,28,29,29
Solomon Is,1,1,2,2,3,4,4,4,4,4
Tokelau,1,1,1,1,1,1,1,1,1,1
Tonga,1,2,2,3,3,6,6,8,8,8
Tuvalu,0,0,0,2,2,2,2,2,2,2
Vanuatu,7,7,8,8,9,10,11,12,12,12
S America,156 047,161 153,170 280,178 690,193 299,202 433,213 012,223 237,231 432,244 975
Argentina,10 528,10 590,10 606,10 655,10 670,10 757,11 510,12 690,14 072,15 027
Bolivia,591,592,628,638,669,796,923,1 057,1 068,1 233
Brazil,96 117,99 835,106 445,112 641,121 374,128 417,136 579,144 552,150 046,159 943
Chile,7 056,7 678,8 329,8 452,9 299,10 289,10 856,11 498,12 619,14 890
Colombia,9 979,10 075,11 134,11 757,11 888,12 071,12 194,12 291,12 387,12 553
Ecuador,2 368,2 388,2 440,2 599,4 640,4 714,5 266,5 277,5 298,5 300
Falklands Malv,2,2,2,2,2,2,2,2,2,2
Fr Guiana,157,158,158,168,168,168,168,171,179,179
Guyana,54,55,55,55,46,48,51,53,53,53
Paraguay,8 810,8 849,8 849,8 849,8 849,8 849,8 849,8 832,8 832,8 832
Peru,3 713,3 784,4 055,4 647,5 725,5 820,6 100,6 289,6 345,6 431
South Georgia,0,0,0,0,0,0,0,0,0,0
Suriname,181,181,186,188,188,189,190,190,191,191
Uruguay,1 834,2 012,2 437,2 825,3 184,3 716,3 727,3 736,3 741,3 741
Venezuela,14 656,14 954,14 955,15 214,16 597,16 597,16 596,16 598,16 598,16 598
